month,country,topic,age_group,share_of_messages
2024-07-01,AE,Writing,18-24,0.079
2024-07-01,AE,Writing,25-34,0.493
2024-07-01,AE,Writing,35-44,0.273
2024-07-01,AE,Writing,45-54,0.107
2024-07-01,AE,Writing,55-64,0.032
2024-07-01,AE,Writing,65+,0.016
2024-07-01,AR,Practical Guidance,18-24,0.329
2024-07-01,AR,Practical Guidance,25-34,0.369
2024-07-01,AR,Practical Guidance,35-44,0.165
2024-07-01,AR,Practical Guidance,45-54,0.097
2024-07-01,AR,Practical Guidance,55-64,0.026
2024-07-01,AR,Practical Guidance,65+,0.013
2024-07-01,AR,Seeking information,18-24,0.307
2024-07-01,AR,Seeking information,25-34,0.387
2024-07-01,AR,Seeking information,35-44,0.175
2024-07-01,AR,Seeking information,45-54,0.072
2024-07-01,AR,Seeking information,55-64,0.000
2024-07-01,AR,Seeking information,65+,0.058
2024-07-01,AR,Technical help,18-24,0.114
2024-07-01,AR,Technical help,25-34,0.510
2024-07-01,AR,Technical help,35-44,0.297
2024-07-01,AR,Technical help,45-54,0.079
2024-07-01,AR,Technical help,55-64,0.000
2024-07-01,AR,Technical help,65+,0.000
2024-07-01,AR,Writing,18-24,0.224
2024-07-01,AR,Writing,25-34,0.413
2024-07-01,AR,Writing,35-44,0.222
2024-07-01,AR,Writing,45-54,0.126
2024-07-01,AR,Writing,55-64,0.015
2024-07-01,AR,Writing,65+,0.000
2024-07-01,AT,Writing,18-24,0.153
2024-07-01,AT,Writing,25-34,0.416
2024-07-01,AT,Writing,35-44,0.331
2024-07-01,AT,Writing,45-54,0.058
2024-07-01,AT,Writing,55-64,0.022
2024-07-01,AT,Writing,65+,0.020
2024-07-01,AU,Practical Guidance,18-24,0.217
2024-07-01,AU,Practical Guidance,25-34,0.409
2024-07-01,AU,Practical Guidance,35-44,0.220
2024-07-01,AU,Practical Guidance,45-54,0.079
2024-07-01,AU,Practical Guidance,55-64,0.039
2024-07-01,AU,Practical Guidance,65+,0.035
2024-07-01,AU,Seeking information,18-24,0.170
2024-07-01,AU,Seeking information,25-34,0.443
2024-07-01,AU,Seeking information,35-44,0.209
2024-07-01,AU,Seeking information,45-54,0.110
2024-07-01,AU,Seeking information,55-64,0.065
2024-07-01,AU,Seeking information,65+,0.003
2024-07-01,AU,Technical help,18-24,0.198
2024-07-01,AU,Technical help,25-34,0.431
2024-07-01,AU,Technical help,35-44,0.228
2024-07-01,AU,Technical help,45-54,0.118
2024-07-01,AU,Technical help,55-64,0.019
2024-07-01,AU,Technical help,65+,0.008
2024-07-01,AU,Writing,18-24,0.152
2024-07-01,AU,Writing,25-34,0.361
2024-07-01,AU,Writing,35-44,0.263
2024-07-01,AU,Writing,45-54,0.145
2024-07-01,AU,Writing,55-64,0.063
2024-07-01,AU,Writing,65+,0.015
2024-07-01,BD,Practical Guidance,18-24,0.415
2024-07-01,BD,Practical Guidance,25-34,0.374
2024-07-01,BD,Practical Guidance,35-44,0.138
2024-07-01,BD,Practical Guidance,45-54,0.073
2024-07-01,BD,Practical Guidance,55-64,0.000
2024-07-01,BD,Practical Guidance,65+,0.000
2024-07-01,BE,Writing,18-24,0.176
2024-07-01,BE,Writing,25-34,0.469
2024-07-01,BE,Writing,35-44,0.247
2024-07-01,BE,Writing,45-54,0.091
2024-07-01,BE,Writing,55-64,0.005
2024-07-01,BE,Writing,65+,0.012
2024-07-01,BR,Multimedia,18-24,0.127
2024-07-01,BR,Multimedia,25-34,0.346
2024-07-01,BR,Multimedia,35-44,0.301
2024-07-01,BR,Multimedia,45-54,0.161
2024-07-01,BR,Multimedia,55-64,0.036
2024-07-01,BR,Multimedia,65+,0.028
2024-07-01,BR,Other/Unknown,18-24,0.222
2024-07-01,BR,Other/Unknown,25-34,0.358
2024-07-01,BR,Other/Unknown,35-44,0.253
