month,topic,age_group,share_of_messages
2024-07-01,Multimedia,18-24,0.159
2024-07-01,Multimedia,25-34,0.377
2024-07-01,Multimedia,35-44,0.254
2024-07-01,Multimedia,45-54,0.137
2024-07-01,Multimedia,55-64,0.050
2024-07-01,Multimedia,65+,0.023
2024-07-01,Other/Unknown,18-24,0.286
2024-07-01,Other/Unknown,25-34,0.403
2024-07-01,Other/Unknown,35-44,0.192
2024-07-01,Other/Unknown,45-54,0.079
2024-07-01,Other/Unknown,55-64,0.030
2024-07-01,Other/Unknown,65+,0.010
2024-07-01,Practical Guidance,18-24,0.319
2024-07-01,Practical Guidance,25-34,0.406
2024-07-01,Practical Guidance,35-44,0.170
2024-07-01,Practical Guidance,45-54,0.071
2024-07-01,Practical Guidance,55-64,0.024
2024-07-01,Practical Guidance,65+,0.010
2024-07-01,Seeking information,18-24,0.300
2024-07-01,Seeking information,25-34,0.397
2024-07-01,Seeking information,35-44,0.176
2024-07-01,Seeking information,45-54,0.080
2024-07-01,Seeking information,55-64,0.031
2024-07-01,Seeking information,65+,0.015
2024-07-01,Self-expression,18-24,0.379
2024-07-01,Self-expression,25-34,0.374
2024-07-01,Self-expression,35-44,0.142
2024-07-01,Self-expression,45-54,0.066
2024-07-01,Self-expression,55-64,0.023
2024-07-01,Self-expression,65+,0.016
2024-07-01,Technical help,18-24,0.288
2024-07-01,Technical help,25-34,0.458
2024-07-01,Technical help,35-44,0.171
2024-07-01,Technical help,45-54,0.058
2024-07-01,Technical help,55-64,0.017
2024-07-01,Technical help,65+,0.007
2024-07-01,Writing,18-24,0.210
2024-07-01,Writing,25-34,0.442
2024-07-01,Writing,35-44,0.216
2024-07-01,Writing,45-54,0.091
2024-07-01,Writing,55-64,0.030
2024-07-01,Writing,65+,0.011
2024-08-01,Multimedia,18-24,0.214
2024-08-01,Multimedia,25-34,0.360
2024-08-01,Multimedia,35-44,0.243
2024-08-01,Multimedia,45-54,0.123
2024-08-01,Multimedia,55-64,0.040
2024-08-01,Multimedia,65+,0.018
2024-08-01,Other/Unknown,18-24,0.310
2024-08-01,Other/Unknown,25-34,0.382
2024-08-01,Other/Unknown,35-44,0.170
2024-08-01,Other/Unknown,45-54,0.086
2024-08-01,Other/Unknown,55-64,0.032
2024-08-01,Other/Unknown,65+,0.019
2024-08-01,Practical Guidance,18-24,0.324
2024-08-01,Practical Guidance,25-34,0.401
2024-08-01,Practical Guidance,35-44,0.166
2024-08-01,Practical Guidance,45-54,0.074
2024-08-01,Practical Guidance,55-64,0.024
2024-08-01,Practical Guidance,65+,0.011
2024-08-01,Seeking information,18-24,0.305
2024-08-01,Seeking information,25-34,0.382
2024-08-01,Seeking information,35-44,0.177
2024-08-01,Seeking information,45-54,0.086
2024-08-01,Seeking information,55-64,0.034
2024-08-01,Seeking information,65+,0.017
2024-08-01,Self-expression,18-24,0.408
2024-08-01,Self-expression,25-34,0.368
2024-08-01,Self-expression,35-44,0.130
2024-08-01,Self-expression,45-54,0.055
2024-08-01,Self-expression,55-64,0.022
2024-08-01,Self-expression,65+,0.017
2024-08-01,Technical help,18-24,0.298
2024-08-01,Technical help,25-34,0.450
2024-08-01,Technical help,35-44,0.168
2024-08-01,Technical help,45-54,0.059
2024-08-01,Technical help,55-64,0.018
2024-08-01,Technical help,65+,0.008
2024-08-01,Writing,18-24,0.223
2024-08-01,Writing,25-34,0.433
2024-08-01,Writing,35-44,0.216
2024-08-01,Writing,45-54,0.086
2024-08-01,Writing,55-64,0.029
2024-08-01,Writing,65+,0.013
2024-09-01,Multimedia,18-24,0.252
2024-09-01,Multimedia,25-34,0.357
2024-09-01,Multimedia,35-44,0.214
2024-09-01,Multimedia,45-54,0.112
2024-09-01,Multimedia,55-64,0.045
2024-09-01,Multimedia,65+,0.020
2024-09-01,Other/Unknown,18-24,0.332
2024-09-01,Other/Unknown,25-34,0.362
2024-09-01,Other/Unknown,35-44,0.176
2024-09-01,Other/Unknown,45-54,0.080
2024-09-01,Other/Unknown,55-64,0.029
2024-09-01,Other/Unknown,65+,0.021
2024-09-01,Practical Guidance,18-24,0.388
2024-09-01,Practical Guidance,25-34,0.364
2024-09-01,Practical Guidance,35-44,0.147
2024-09-01,Practical Guidance,45-54,0.067
2024-09-01,Practical Guidance,55-64,0.022
2024-09-01,Practical Guidance,65+,0.011
2024-09-01,Seeking information,18-24,0.358
2024-09-01,Seeking information,25-34,0.361
2024-09-01,Seeking information,35-44,0.156
2024-09-01,Seeking information,45-54,0.079
2024-09-01,Seeking information,55-64,0.031
2024-09-01,Seeking information,65+,0.016
2024-09-01,Self-expression,18-24,0.383
2024-09-01,Self-expression,25-34,0.370
2024-09-01,Self-expression,35-44,0.143
2024-09-01,Self-expression,45-54,0.059
2024-09-01,Self-expression,55-64,0.026
2024-09-01,Self-expression,65+,0.019
2024-09-01,Technical help,18-24,0.346
2024-09-01,Technical help,25-34,0.419
2024-09-01,Technical help,35-44,0.149
2024-09-01,Technical help,45-54,0.059
2024-09-01,Technical help,55-64,0.019
2024-09-01,Technical help,65+,0.008
2024-09-01,Writing,18-24,0.259
2024-09-01,Writing,25-34,0.414
2024-09-01,Writing,35-44,0.199
2024-09-01,Writing,45-54,0.084
2024-09-01,Writing,55-64,0.030
2024-09-01,Writing,65+,0.014
2024-10-01,Multimedia,18-24,0.280
2024-10-01,Multimedia,25-34,0.351
2024-10-01,Multimedia,35-44,0.203
2024-10-01,Multimedia,45-54,0.109
2024-10-01,Multimedia,55-64,0.039
2024-10-01,Multimedia,65+,0.018
2024-10-01,Other/Unknown,18-24,0.354
2024-10-01,Other/Unknown,25-34,0.368
2024-10-01,Other/Unknown,35-44,0.152
2024-10-01,Other/Unknown,45-54,0.074
2024-10-01,Other/Unknown,55-64,0.028
2024-10-01,Other/Unknown,65+,0.023
2024-10-01,Practical Guidance,18-24,0.424
2024-10-01,Practical Guidance,25-34,0.355
2024-10-01,Practical Guidance,35-44,0.128
2024-10-01,Practical Guidance,45-54,0.059
2024-10-01,Practical Guidance,55-64,0.021
2024-10-01,Practical Guidance,65+,0.013
2024-10-01,Seeking information,18-24,0.385
2024-10-01,Seeking information,25-34,0.352
2024-10-01,Seeking information,35-44,0.147
2024-10-01,Seeking information,45-54,0.069
2024-10-01,Seeking information,55-64,0.029
2024-10-01,Seeking information,65+,0.018
2024-10-01,Self-expression,18-24,0.391
2024-10-01,Self-expression,25-34,0.354
2024-10-01,Self-expression,35-44,0.143
2024-10-01,Self-expression,45-54,0.065
2024-10-01,Self-expression,55-64,0.023
