month,country,typical_name_gender,share_of_messages
2024-07-01,AE,feminine,0.387
2024-07-01,AE,masculine,0.613
2024-07-01,AM,feminine,0.421
2024-07-01,AM,masculine,0.579
2024-07-01,AO,feminine,0.268
2024-07-01,AO,masculine,0.732
2024-07-01,AR,feminine,0.436
2024-07-01,AR,masculine,0.564
2024-07-01,AT,feminine,0.436
2024-07-01,AT,masculine,0.564
2024-07-01,AU,feminine,0.471
2024-07-01,AU,masculine,0.529
2024-07-01,AZ,feminine,0.375
2024-07-01,AZ,masculine,0.625
2024-07-01,BA,feminine,0.440
2024-07-01,BA,masculine,0.560
2024-07-01,BD,feminine,0.306
2024-07-01,BD,masculine,0.694
2024-07-01,BE,feminine,0.479
2024-07-01,BE,masculine,0.521
2024-07-01,BG,feminine,0.341
2024-07-01,BG,masculine,0.659
2024-07-01,BO,feminine,0.449
2024-07-01,BO,masculine,0.551
2024-07-01,BR,feminine,0.434
2024-07-01,BR,masculine,0.566
2024-07-01,CA,feminine,0.427
2024-07-01,CA,masculine,0.573
2024-07-01,CH,feminine,0.399
2024-07-01,CH,masculine,0.601
2024-07-01,CI,feminine,0.273
2024-07-01,CI,masculine,0.727
2024-07-01,CL,feminine,0.420
2024-07-01,CL,masculine,0.580
2024-07-01,CO,feminine,0.478
2024-07-01,CO,masculine,0.522
2024-07-01,CR,feminine,0.414
2024-07-01,CR,masculine,0.586
2024-07-01,CY,feminine,0.439
2024-07-01,CY,masculine,0.561
2024-07-01,CZ,feminine,0.403
2024-07-01,CZ,masculine,0.597
2024-07-01,DE,feminine,0.413
2024-07-01,DE,masculine,0.587
2024-07-01,DK,feminine,0.383
2024-07-01,DK,masculine,0.617
2024-07-01,DO,feminine,0.542
2024-07-01,DO,masculine,0.458
2024-07-01,DZ,feminine,0.460
2024-07-01,DZ,masculine,0.540
2024-07-01,EC,feminine,0.531
2024-07-01,EC,masculine,0.469
2024-07-01,EE,feminine,0.406
2024-07-01,EE,masculine,0.594
2024-07-01,EG,feminine,0.306
2024-07-01,EG,masculine,0.694
2024-07-01,ES,feminine,0.442
2024-07-01,ES,masculine,0.558
2024-07-01,ET,feminine,0.296
2024-07-01,ET,masculine,0.704
2024-07-01,FI,feminine,0.400
2024-07-01,FI,masculine,0.600
2024-07-01,FR,feminine,0.429
2024-07-01,FR,masculine,0.571
2024-07-01,GB,feminine,0.408
2024-07-01,GB,masculine,0.592
2024-07-01,GE,feminine,0.479
2024-07-01,GE,masculine,0.521
2024-07-01,GH,feminine,0.383
2024-07-01,GH,masculine,0.617
2024-07-01,GR,feminine,0.384
2024-07-01,GR,masculine,0.616
2024-07-01,GT,feminine,0.474
2024-07-01,GT,masculine,0.526
2024-07-01,HN,feminine,0.528
2024-07-01,HN,masculine,0.472
2024-07-01,HR,feminine,0.423
2024-07-01,HR,masculine,0.577
2024-07-01,HU,feminine,0.344
2024-07-01,HU,masculine,0.656
2024-07-01,ID,feminine,0.521
2024-07-01,ID,masculine,0.479
2024-07-01,IE,feminine,0.439
2024-07-01,IE,masculine,0.561
2024-07-01,IL,feminine,0.335
2024-07-01,IL,masculine,0.665
2024-07-01,IN,feminine,0.385
2024-07-01,IN,masculine,0.615
2024-07-01,IQ,feminine,0.317
2024-07-01,IQ,masculine,0.683
2024-07-01,IT,feminine,0.476
2024-07-01,IT,masculine,0.524
2024-07-01,JO,feminine,0.364
2024-07-01,JO,masculine,0.636
2024-07-01,JP,feminine,0.331
2024-07-01,JP,masculine,0.669
2024-07-01,KE,feminine,0.449
2024-07-01,KE,masculine,0.551
2024-07-01,KR,feminine,0.416
2024-07-01,KR,masculine,0.584
2024-07-01,KZ,feminine,0.420
2024-07-01,KZ,masculine,0.580
2024-07-01,LB,feminine,0.549
2024-07-01,LB,masculine,0.451
2024-07-01,LK,feminine,0.498
2024-07-01,LK,masculine,0.502
2024-07-01,LT,feminine,0.403
2024-07-01,LT,masculine,0.597
2024-07-01,LU,feminine,0.441
2024-07-01,LU,masculine,0.559
2024-07-01,LV,feminine,0.409
2024-07-01,LV,masculine,0.591
2024-07-01,MA,feminine,0.403
2024-07-01,MA,masculine,0.597
2024-07-01,MD,feminine,0.529
2024-07-01,MD,masculine,0.471
2024-07-01,MM,feminine,0.439
2024-07-01,MM,masculine,0.561
2024-07-01,MT,feminine,0.308
2024-07-01,MT,masculine,0.692
2024-07-01,MX,feminine,0.409
2024-07-01,MX,masculine,0.591
2024-07-01,MY,feminine,0.498
2024-07-01,MY,masculine,0.502
2024-07-01,MZ,feminine,0.307
2024-07-01,MZ,masculine,0.693
2024-07-01,NG,feminine,0.333
2024-07-01,NG,masculine,0.667
2024-07-01,NI,feminine,0.434
2024-07-01,NI,masculine,0.566
2024-07-01,NL,feminine,0.397
2024-07-01,NL,masculine,0.603
2024-07-01,NO,feminine,0.356
2024-07-01,NO,masculine,0.644
2024-07-01,NP,feminine,0.407
2024-07-01,NP,masculine,0.593
2024-07-01,NZ,feminine,0.446
2024-07-01,NZ,masculine,0.554
2024-07-01,OM,feminine,0.408
2024-07-01,OM,masculine,0.592
2024-07-01,PA,feminine,0.552
2024-07-01,PA,masculine,0.448
2024-07-01,PE,feminine,0.466
2024-07-01,PE,masculine,0.534
2024-07-01,PH,feminine,0.530
2024-07-01,PH,masculine,0.470
2024-07-01,PK,feminine,0.348
2024-07-01,PK,masculine,0.652
2024-07-01,PL,feminine,0.450
2024-07-01,PL,masculine,0.550
2024-07-01,PR,feminine,0.504
2024-07-01,PR,masculine,0.496
2024-07-01,PS,feminine,0.464
2024-07-01,PS,masculine,0.536
2024-07-01,PT,feminine,0.476
2024-07-01,PT,masculine,0.524
2024-07-01,PY,feminine,0.438
2024-07-01,PY,masculine,0.562
2024-07-01,QA,feminine,0.365
2024-07-01,QA,masculine,0.635
2024-07-01,RO,feminine,0.479
2024-07-01,RO,masculine,0.521
2024-07-01,RS,feminine,0.436
2024-07-01,RS,masculine,0.564
2024-07-01,SA,feminine,0.318
2024-07-01,SA,masculine,0.682
2024-07-01,SE,feminine,0.347
2024-07-01,SE,masculine,0.653
2024-07-01,SG,feminine,0.402
2024-07-01,SG,masculine,0.598
2024-07-01,SI,feminine,0.554
2024-07-01,SI,masculine,0.446
2024-07-01,SK,feminine,0.397
2024-07-01,SK,masculine,0.603
2024-07-01,SN,feminine,0.399
2024-07-01,SN,masculine,0.601
2024-07-01,SO,feminine,0.415
2024-07-01,SO,masculine,0.585
2024-07-01,SV,feminine,0.424
2024-07-01,SV,masculine,0.576
2024-07-01,TH,feminine,0.397
2024-07-01,TH,masculine,0.603
2024-07-01,TN,feminine,0.456
2024-07-01,TN,masculine,0.544
2024-07-01,TR,feminine,0.301
2024-07-01,TR,masculine,0.699
2024-07-01,TW,feminine,0.348
2024-07-01,TW,masculine,0.652
2024-07-01,TZ,feminine,0.346
2024-07-01,TZ,masculine,0.654
2024-07-01,UA,feminine,0.410
2024-07-01,UA,masculine,0.590
2024-07-01,UG,feminine,0.389
2024-07-01,UG,masculine,0.611
2024-07-01,US,feminine,0.420
2024-07-01,US,masculine,0.580
2024-07-01,UY,feminine,0.494
2024-07-01,UY,masculine,0.506
2024-07-01,UZ,feminine,0.325
2024-07-01,UZ,masculine,0.675
2024-07-01,VN,feminine,0.477
2024-07-01,VN,masculine,0.523
2024-07-01,ZA,feminine,0.459
2024-07-01,ZA,masculine,0.541
2024-07-01,ZM,feminine,0.412
2024-07-01,ZM,masculine,0.588
2024-08-01,AE,feminine,0.409
2024-08-01,AE,masculine,0.591
2024-08-01,AM,feminine,0.398
2024-08-01,AM,masculine,0.602
2024-08-01,AO,feminine,0.275
2024-08-01,AO,masculine,0.725
2024-08-01,AR,feminine,0.455
2024-08-01,AR,masculine,0.545
2024-08-01,AT,feminine,0.470
2024-08-01,AT,masculine,0.530
2024-08-01,AU,feminine,0.494
2024-08-01,AU,masculine,0.506
2024-08-01,AZ,feminine,0.430
2024-08-01,AZ,masculine,0.570
2024-08-01,BA,feminine,0.437
2024-08-01,BA,masculine,0.563
2024-08-01,BD,feminine,0.348
2024-08-01,BD,masculine,0.652
2024-08-01,BE,feminine,0.491
2024-08-01,BE,masculine,0.509
2024-08-01,BG,feminine,0.329
2024-08-01,BG,masculine,0.671
2024-08-01,BO,feminine,0.481
2024-08-01,BO,masculine,0.519
2024-08-01,BR,feminine,0.459
2024-08-01,BR,masculine,0.541
2024-08-01,CA,feminine,0.427
2024-08-01,CA,masculine,0.573
2024-08-01,CH,feminine,0.443
2024-08-01,CH,masculine,0.557
2024-08-01,CI,feminine,0.316
2024-08-01,CI,masculine,0.684
2024-08-01,CL,feminine,0.435
2024-08-01,CL,masculine,0.565
2024-08-01,CO,feminine,0.500
2024-08-01,CO,masculine,0.500
2024-08-01,CR,feminine,0.473
2024-08-01,CR,masculine,0.527
2024-08-01,CY,feminine,0.445
2024-08-01,CY,masculine,0.555
2024-08-01,CZ,feminine,0.455
2024-08-01,CZ,masculine,0.545
2024-08-01,DE,feminine,0.398
2024-08-01,DE,masculine,0.602
2024-08-01,DK,feminine,0.415
2024-08-01,DK,masculine,0.585
2024-08-01,DO,feminine,0.531
2024-08-01,DO,masculine,0.469
2024-08-01,DZ,feminine,0.416
2024-08-01,DZ,masculine,0.584
2024-08-01,EC,feminine,0.496
2024-08-01,EC,masculine,0.504
2024-08-01,EE,feminine,0.429
2024-08-01,EE,masculine,0.571
2024-08-01,EG,feminine,0.307
2024-08-01,EG,masculine,0.693
2024-08-01,ES,feminine,0.407
2024-08-01,ES,masculine,0.593
2024-08-01,ET,feminine,0.322
2024-08-01,ET,masculine,0.678
2024-08-01,FI,feminine,0.443
2024-08-01,FI,masculine,0.557
2024-08-01,FR,feminine,0.402
2024-08-01,FR,masculine,0.598
2024-08-01,GB,feminine,0.394
2024-08-01,GB,masculine,0.606
2024-08-01,GE,feminine,0.438
2024-08-01,GE,masculine,0.562
2024-08-01,GH,feminine,0.362
2024-08-01,GH,masculine,0.638
2024-08-01,GR,feminine,0.401
2024-08-01,GR,masculine,0.599
2024-08-01,GT,feminine,0.471
2024-08-01,GT,masculine,0.529
2024-08-01,HN,feminine,0.542
2024-08-01,HN,masculine,0.458
2024-08-01,HR,feminine,0.410
2024-08-01,HR,masculine,0.590
2024-08-01,HU,feminine,0.370
2024-08-01,HU,masculine,0.630
2024-08-01,ID,feminine,0.543
2024-08-01,ID,masculine,0.457
2024-08-01,IE,feminine,0.428
2024-08-01,IE,masculine,0.572
2024-08-01,IL,feminine,0.295
2024-08-01,IL,masculine,0.705
2024-08-01,IN,feminine,0.383
2024-08-01,IN,masculine,0.617
2024-08-01,IQ,feminine,0.399
2024-08-01,IQ,masculine,0.601
2024-08-01,IT,feminine,0.458
2024-08-01,IT,masculine,0.542
2024-08-01,JO,feminine,0.422
2024-08-01,JO,masculine,0.578
2024-08-01,JP,feminine,0.312
2024-08-01,JP,masculine,0.688
2024-08-01,KE,feminine,0.419
2024-08-01,KE,masculine,0.581
2024-08-01,KR,feminine,0.431
2024-08-01,KR,masculine,0.569
2024-08-01,KZ,feminine,0.429
2024-08-01,KZ,masculine,0.571
2024-08-01,LB,feminine,0.473
2024-08-01,LB,masculine,0.527
2024-08-01,LK,feminine,0.519
2024-08-01,LK,masculine,0.481
2024-08-01,LT,feminine,0.450
2024-08-01,LT,masculine,0.550
2024-08-01,LV,feminine,0.488
2024-08-01,LV,masculine,0.512
2024-08-01,MA,feminine,0.394
2024-08-01,MA,masculine,0.606
2024-08-01,MD,feminine,0.417
2024-08-01,MD,masculine,0.583
2024-08-01,MM,feminine,0.455
2024-08-01,MM,masculine,0.545
2024-08-01,MT,feminine,0.413
2024-08-01,MT,masculine,0.587
2024-08-01,MX,feminine,0.434
2024-08-01,MX,masculine,0.566
2024-08-01,MY,feminine,0.470
2024-08-01,MY,masculine,0.530
2024-08-01,MZ,feminine,0.345
2024-08-01,MZ,masculine,0.655
2024-08-01,NG,feminine,0.328
2024-08-01,NG,masculine,0.672
2024-08-01,NI,feminine,0.456
2024-08-01,NI,masculine,0.544
2024-08-01,NL,feminine,0.374
2024-08-01,NL,masculine,0.626
2024-08-01,NO,feminine,0.401
2024-08-01,NO,masculine,0.599
2024-08-01,NP,feminine,0.415
2024-08-01,NP,masculine,0.585
2024-08-01,NZ,feminine,0.483
2024-08-01,NZ,masculine,0.517
2024-08-01,OM,feminine,0.373
2024-08-01,OM,masculine,0.627
2024-08-01,PA,feminine,0.505
2024-08-01,PA,masculine,0.495
2024-08-01,PE,feminine,0.460
2024-08-01,PE,masculine,0.540
2024-08-01,PH,feminine,0.534
2024-08-01,PH,masculine,0.466
2024-08-01,PK,feminine,0.341
2024-08-01,PK,masculine,0.659
2024-08-01,PL,feminine,0.427
2024-08-01,PL,masculine,0.573
2024-08-01,PR,feminine,0.478
2024-08-01,PR,masculine,0.522
2024-08-01,PS,feminine,0.532
2024-08-01,PS,masculine,0.468
2024-08-01,PT,feminine,0.436
2024-08-01,PT,masculine,0.564
2024-08-01,PY,feminine,0.471
2024-08-01,PY,masculine,0.529
2024-08-01,QA,feminine,0.383
2024-08-01,QA,masculine,0.617
2024-08-01,RO,feminine,0.475
2024-08-01,RO,masculine,0.525
2024-08-01,RS,feminine,0.472
2024-08-01,RS,masculine,0.528
2024-08-01,SA,feminine,0.317
2024-08-01,SA,masculine,0.683
2024-08-01,SC,feminine,0.476
2024-08-01,SC,masculine,0.524
2024-08-01,SE,feminine,0.406
2024-08-01,SE,masculine,0.594
2024-08-01,SG,feminine,0.446
2024-08-01,SG,masculine,0.554
2024-08-01,SI,feminine,0.483
2024-08-01,SI,masculine,0.517
2024-08-01,SK,feminine,0.399
2024-08-01,SK,masculine,0.601
2024-08-01,SN,feminine,0.413
2024-08-01,SN,masculine,0.587
2024-08-01,SV,feminine,0.437
2024-08-01,SV,masculine,0.563
2024-08-01,TH,feminine,0.443
2024-08-01,TH,masculine,0.557
2024-08-01,TN,feminine,0.437
2024-08-01,TN,masculine,0.563
2024-08-01,TR,feminine,0.309
2024-08-01,TR,masculine,0.691
2024-08-01,TW,feminine,0.380
2024-08-01,TW,masculine,0.620
2024-08-01,TZ,feminine,0.331
2024-08-01,TZ,masculine,0.669
2024-08-01,UA,feminine,0.437
2024-08-01,UA,masculine,0.563
2024-08-01,UG,feminine,0.348
2024-08-01,UG,masculine,0.652
2024-08-01,US,feminine,0.414
2024-08-01,US,masculine,0.586
2024-08-01,UY,feminine,0.447
2024-08-01,UY,masculine,0.553
2024-08-01,UZ,feminine,0.313
2024-08-01,UZ,masculine,0.687
2024-08-01,VN,feminine,0.468
2024-08-01,VN,masculine,0.532
2024-08-01,ZA,feminine,0.486
2024-08-01,ZA,masculine,0.514
2024-08-01,ZM,feminine,0.448
2024-08-01,ZM,masculine,0.552
2024-09-01,AE,feminine,0.447
2024-09-01,AE,masculine,0.553
2024-09-01,AL,feminine,0.550
2024-09-01,AL,masculine,0.450
2024-09-01,AM,feminine,0.623
2024-09-01,AM,masculine,0.377
2024-09-01,AO,feminine,0.287
2024-09-01,AO,masculine,0.713
2024-09-01,AR,feminine,0.468
2024-09-01,AR,masculine,0.532
2024-09-01,AT,feminine,0.435
2024-09-01,AT,masculine,0.565
2024-09-01,AU,feminine,0.459
2024-09-01,AU,masculine,0.541
2024-09-01,AZ,feminine,0.342
2024-09-01,AZ,masculine,0.658
2024-09-01,BA,feminine,0.403
2024-09-01,BA,masculine,0.597
2024-09-01,BD,feminine,0.350
2024-09-01,BD,masculine,0.650
2024-09-01,BE,feminine,0.453
2024-09-01,BE,masculine,0.547
2024-09-01,BG,feminine,0.365
2024-09-01,BG,masculine,0.635
2024-09-01,BO,feminine,0.480
2024-09-01,BO,masculine,0.520
2024-09-01,BR,feminine,0.481
2024-09-01,BR,masculine,0.519
2024-09-01,CA,feminine,0.455
2024-09-01,CA,masculine,0.545
2024-09-01,CH,feminine,0.440
2024-09-01,CH,masculine,0.560
2024-09-01,CI,feminine,0.404
2024-09-01,CI,masculine,0.596
2024-09-01,CL,feminine,0.435
2024-09-01,CL,masculine,0.565
2024-09-01,CO,feminine,0.495
2024-09-01,CO,masculine,0.505
2024-09-01,CR,feminine,0.487
2024-09-01,CR,masculine,0.513
2024-09-01,CY,feminine,0.454
2024-09-01,CY,masculine,0.546
2024-09-01,CZ,feminine,0.432
2024-09-01,CZ,masculine,0.568
