month,country,topic,typical_name_gender,share_of_messages
2024-07-01,AE,Practical Guidance,feminine,0.360
2024-07-01,AE,Practical Guidance,masculine,0.640
2024-07-01,AE,Seeking information,feminine,0.325
2024-07-01,AE,Seeking information,masculine,0.675
2024-07-01,AE,Writing,feminine,0.441
2024-07-01,AE,Writing,masculine,0.559
2024-07-01,AR,Practical Guidance,feminine,0.449
2024-07-01,AR,Practical Guidance,masculine,0.551
2024-07-01,AR,Seeking information,feminine,0.405
2024-07-01,AR,Seeking information,masculine,0.595
2024-07-01,AR,Self-expression,feminine,0.325
2024-07-01,AR,Self-expression,masculine,0.675
2024-07-01,AR,Technical help,feminine,0.253
2024-07-01,AR,Technical help,masculine,0.747
2024-07-01,AR,Writing,feminine,0.547
2024-07-01,AR,Writing,masculine,0.453
2024-07-01,AT,Practical Guidance,feminine,0.491
2024-07-01,AT,Practical Guidance,masculine,0.509
2024-07-01,AT,Seeking information,feminine,0.366
2024-07-01,AT,Seeking information,masculine,0.634
2024-07-01,AT,Writing,feminine,0.511
2024-07-01,AT,Writing,masculine,0.489
2024-07-01,AU,Practical Guidance,feminine,0.492
2024-07-01,AU,Practical Guidance,masculine,0.508
2024-07-01,AU,Seeking information,feminine,0.377
2024-07-01,AU,Seeking information,masculine,0.623
2024-07-01,AU,Technical help,feminine,0.259
2024-07-01,AU,Technical help,masculine,0.741
2024-07-01,AU,Writing,feminine,0.550
2024-07-01,AU,Writing,masculine,0.450
2024-07-01,BD,Practical Guidance,feminine,0.323
2024-07-01,BD,Practical Guidance,masculine,0.677
2024-07-01,BD,Writing,feminine,0.325
2024-07-01,BD,Writing,masculine,0.675
2024-07-01,BE,Practical Guidance,feminine,0.459
2024-07-01,BE,Practical Guidance,masculine,0.541
2024-07-01,BE,Seeking information,feminine,0.426
2024-07-01,BE,Seeking information,masculine,0.574
2024-07-01,BE,Writing,feminine,0.581
2024-07-01,BE,Writing,masculine,0.419
2024-07-01,BO,Practical Guidance,feminine,0.444
2024-07-01,BO,Practical Guidance,masculine,0.556
2024-07-01,BO,Seeking information,feminine,0.481
2024-07-01,BO,Seeking information,masculine,0.519
2024-07-01,BO,Writing,feminine,0.477
2024-07-01,BO,Writing,masculine,0.523
2024-07-01,BR,Multimedia,feminine,0.324
2024-07-01,BR,Multimedia,masculine,0.676
2024-07-01,BR,Other/Unknown,feminine,0.383
2024-07-01,BR,Other/Unknown,masculine,0.617
2024-07-01,BR,Practical Guidance,feminine,0.448
2024-07-01,BR,Practical Guidance,masculine,0.552
2024-07-01,BR,Seeking information,feminine,0.399
2024-07-01,BR,Seeking information,masculine,0.601
2024-07-01,BR,Self-expression,feminine,0.430
2024-07-01,BR,Self-expression,masculine,0.570
2024-07-01,BR,Technical help,feminine,0.221
2024-07-01,BR,Technical help,masculine,0.779
2024-07-01,BR,Writing,feminine,0.516
2024-07-01,BR,Writing,masculine,0.484
2024-07-01,CA,Multimedia,feminine,0.251
2024-07-01,CA,Multimedia,masculine,0.749
2024-07-01,CA,Other/Unknown,feminine,0.331
2024-07-01,CA,Other/Unknown,masculine,0.669
2024-07-01,CA,Practical Guidance,feminine,0.438
2024-07-01,CA,Practical Guidance,masculine,0.562
2024-07-01,CA,Seeking information,feminine,0.383
2024-07-01,CA,Seeking information,masculine,0.617
2024-07-01,CA,Self-expression,feminine,0.441
2024-07-01,CA,Self-expression,masculine,0.559
2024-07-01,CA,Technical help,feminine,0.286
2024-07-01,CA,Technical help,masculine,0.714
2024-07-01,CA,Writing,feminine,0.495
2024-07-01,CA,Writing,masculine,0.505
2024-07-01,CH,Practical Guidance,feminine,0.364
2024-07-01,CH,Practical Guidance,masculine,0.636
2024-07-01,CH,Seeking information,feminine,0.327
2024-07-01,CH,Seeking information,masculine,0.673
2024-07-01,CH,Technical help,feminine,0.276
2024-07-01,CH,Technical help,masculine,0.724
2024-07-01,CH,Writing,feminine,0.474
2024-07-01,CH,Writing,masculine,0.526
2024-07-01,CL,Practical Guidance,feminine,0.469
2024-07-01,CL,Practical Guidance,masculine,0.531
2024-07-01,CL,Seeking information,feminine,0.410
2024-07-01,CL,Seeking information,masculine,0.590
2024-07-01,CL,Technical help,feminine,0.168
2024-07-01,CL,Technical help,masculine,0.832
2024-07-01,CL,Writing,feminine,0.481
2024-07-01,CL,Writing,masculine,0.519
2024-07-01,CO,Other/Unknown,feminine,0.490
2024-07-01,CO,Other/Unknown,masculine,0.510
2024-07-01,CO,Practical Guidance,feminine,0.491
2024-07-01,CO,Practical Guidance,masculine,0.509
2024-07-01,CO,Seeking information,feminine,0.470
2024-07-01,CO,Seeking information,masculine,0.530
