month,topic,typical_name_gender,share_of_messages
2024-07-01,Multimedia,feminine,0.305
2024-07-01,Multimedia,masculine,0.695
2024-07-01,Other/Unknown,feminine,0.377
2024-07-01,Other/Unknown,masculine,0.623
2024-07-01,Practical Guidance,feminine,0.436
2024-07-01,Practical Guidance,masculine,0.564
2024-07-01,Seeking information,feminine,0.391
2024-07-01,Seeking information,masculine,0.609
2024-07-01,Self-expression,feminine,0.438
2024-07-01,Self-expression,masculine,0.562
2024-07-01,Technical help,feminine,0.264
2024-07-01,Technical help,masculine,0.736
2024-07-01,Writing,feminine,0.492
2024-07-01,Writing,masculine,0.508
2024-08-01,Multimedia,feminine,0.338
2024-08-01,Multimedia,masculine,0.662
2024-08-01,Other/Unknown,feminine,0.387
2024-08-01,Other/Unknown,masculine,0.613
2024-08-01,Practical Guidance,feminine,0.438
2024-08-01,Practical Guidance,masculine,0.562
2024-08-01,Seeking information,feminine,0.389
2024-08-01,Seeking information,masculine,0.611
2024-08-01,Self-expression,feminine,0.446
2024-08-01,Self-expression,masculine,0.554
2024-08-01,Technical help,feminine,0.260
2024-08-01,Technical help,masculine,0.740
2024-08-01,Writing,feminine,0.499
2024-08-01,Writing,masculine,0.501
2024-09-01,Multimedia,feminine,0.351
2024-09-01,Multimedia,masculine,0.649
2024-09-01,Other/Unknown,feminine,0.405
2024-09-01,Other/Unknown,masculine,0.595
2024-09-01,Practical Guidance,feminine,0.459
2024-09-01,Practical Guidance,masculine,0.541
2024-09-01,Seeking information,feminine,0.413
2024-09-01,Seeking information,masculine,0.587
2024-09-01,Self-expression,feminine,0.466
2024-09-01,Self-expression,masculine,0.534
2024-09-01,Technical help,feminine,0.286
2024-09-01,Technical help,masculine,0.714
2024-09-01,Writing,feminine,0.506
2024-09-01,Writing,masculine,0.494
2024-10-01,Multimedia,feminine,0.366
2024-10-01,Multimedia,masculine,0.634
2024-10-01,Other/Unknown,feminine,0.423
2024-10-01,Other/Unknown,masculine,0.577
2024-10-01,Practical Guidance,feminine,0.471
2024-10-01,Practical Guidance,masculine,0.529
2024-10-01,Seeking information,feminine,0.426
2024-10-01,Seeking information,masculine,0.574
2024-10-01,Self-expression,feminine,0.484
2024-10-01,Self-expression,masculine,0.516
2024-10-01,Technical help,feminine,0.294
2024-10-01,Technical help,masculine,0.706
2024-10-01,Writing,feminine,0.519
2024-10-01,Writing,masculine,0.481
2024-11-01,Multimedia,feminine,0.392
2024-11-01,Multimedia,masculine,0.608
2024-11-01,Other/Unknown,feminine,0.433
2024-11-01,Other/Unknown,masculine,0.567
2024-11-01,Practical Guidance,feminine,0.483
2024-11-01,Practical Guidance,masculine,0.517
2024-11-01,Seeking information,feminine,0.429
2024-11-01,Seeking information,masculine,0.571
2024-11-01,Self-expression,feminine,0.524
2024-11-01,Self-expression,masculine,0.476
2024-11-01,Technical help,feminine,0.306
2024-11-01,Technical help,masculine,0.694
2024-11-01,Writing,feminine,0.527
2024-11-01,Writing,masculine,0.473
2024-12-01,Multimedia,feminine,0.389
2024-12-01,Multimedia,masculine,0.611
2024-12-01,Other/Unknown,feminine,0.426
2024-12-01,Other/Unknown,masculine,0.574
2024-12-01,Practical Guidance,feminine,0.472
2024-12-01,Practical Guidance,masculine,0.528
2024-12-01,Seeking information,feminine,0.414
2024-12-01,Seeking information,masculine,0.586
2024-12-01,Self-expression,feminine,0.528
2024-12-01,Self-expression,masculine,0.472
2024-12-01,Technical help,feminine,0.299
2024-12-01,Technical help,masculine,0.701
2024-12-01,Writing,feminine,0.522
2024-12-01,Writing,masculine,0.478
2025-01-01,Multimedia,feminine,0.392
2025-01-01,Multimedia,masculine,0.608
2025-01-01,Other/Unknown,feminine,0.428
2025-01-01,Other/Unknown,masculine,0.572
2025-01-01,Practical Guidance,feminine,0.481
2025-01-01,Practical Guidance,masculine,0.519
2025-01-01,Seeking information,feminine,0.415
2025-01-01,Seeking information,masculine,0.585
2025-01-01,Self-expression,feminine,0.523
2025-01-01,Self-expression,masculine,0.477
2025-01-01,Technical help,feminine,0.301
2025-01-01,Technical help,masculine,0.699
2025-01-01,Writing,feminine,0.526
2025-01-01,Writing,masculine,0.474
2025-02-01,Multimedia,feminine,0.394
2025-02-01,Multimedia,masculine,0.606
