month,country,topic,share_of_messages
2024-07-01,AE,Multimedia,0.019
2024-07-01,AE,Other/Unknown,0.040
2024-07-01,AE,Practical Guidance,0.177
2024-07-01,AE,Seeking information,0.134
2024-07-01,AE,Self-expression,0.024
2024-07-01,AE,Technical help,0.087
2024-07-01,AE,Writing,0.520
2024-07-01,AF,Multimedia,0.000
2024-07-01,AF,Other/Unknown,0.000
2024-07-01,AF,Practical Guidance,0.293
2024-07-01,AF,Seeking information,0.256
2024-07-01,AF,Self-expression,0.031
2024-07-01,AF,Technical help,0.029
2024-07-01,AF,Writing,0.391
2024-07-01,AL,Multimedia,0.035
2024-07-01,AL,Other/Unknown,0.050
2024-07-01,AL,Practical Guidance,0.205
2024-07-01,AL,Seeking information,0.125
2024-07-01,AL,Self-expression,0.012
2024-07-01,AL,Technical help,0.251
2024-07-01,AL,Writing,0.322
2024-07-01,AM,Multimedia,0.011
2024-07-01,AM,Other/Unknown,0.093
2024-07-01,AM,Practical Guidance,0.198
2024-07-01,AM,Seeking information,0.152
2024-07-01,AM,Self-expression,0.064
2024-07-01,AM,Technical help,0.227
2024-07-01,AM,Writing,0.255
2024-07-01,AO,Multimedia,0.047
2024-07-01,AO,Other/Unknown,0.028
2024-07-01,AO,Practical Guidance,0.296
2024-07-01,AO,Seeking information,0.178
2024-07-01,AO,Self-expression,0.107
2024-07-01,AO,Technical help,0.085
2024-07-01,AO,Writing,0.259
2024-07-01,AR,Multimedia,0.020
2024-07-01,AR,Other/Unknown,0.033
2024-07-01,AR,Practical Guidance,0.303
2024-07-01,AR,Seeking information,0.196
2024-07-01,AR,Self-expression,0.044
2024-07-01,AR,Technical help,0.120
2024-07-01,AR,Writing,0.285
2024-07-01,AT,Multimedia,0.023
2024-07-01,AT,Other/Unknown,0.024
2024-07-01,AT,Practical Guidance,0.216
2024-07-01,AT,Seeking information,0.184
2024-07-01,AT,Self-expression,0.015
2024-07-01,AT,Technical help,0.107
2024-07-01,AT,Writing,0.430
2024-07-01,AU,Multimedia,0.016
2024-07-01,AU,Other/Unknown,0.025
2024-07-01,AU,Practical Guidance,0.249
2024-07-01,AU,Seeking information,0.145
2024-07-01,AU,Self-expression,0.023
2024-07-01,AU,Technical help,0.103
2024-07-01,AU,Writing,0.438
2024-07-01,AZ,Multimedia,0.012
2024-07-01,AZ,Other/Unknown,0.072
2024-07-01,AZ,Practical Guidance,0.284
2024-07-01,AZ,Seeking information,0.194
2024-07-01,AZ,Self-expression,0.039
2024-07-01,AZ,Technical help,0.146
2024-07-01,AZ,Writing,0.253
2024-07-01,BA,Multimedia,0.009
2024-07-01,BA,Other/Unknown,0.029
2024-07-01,BA,Practical Guidance,0.191
2024-07-01,BA,Seeking information,0.251
2024-07-01,BA,Self-expression,0.063
2024-07-01,BA,Technical help,0.167
2024-07-01,BA,Writing,0.291
2024-07-01,BD,Multimedia,0.021
2024-07-01,BD,Other/Unknown,0.032
2024-07-01,BD,Practical Guidance,0.297
2024-07-01,BD,Seeking information,0.146
2024-07-01,BD,Self-expression,0.045
2024-07-01,BD,Technical help,0.135
2024-07-01,BD,Writing,0.324
2024-07-01,BE,Multimedia,0.019
2024-07-01,BE,Other/Unknown,0.028
2024-07-01,BE,Practical Guidance,0.220
2024-07-01,BE,Seeking information,0.195
2024-07-01,BE,Self-expression,0.034
2024-07-01,BE,Technical help,0.081
2024-07-01,BE,Writing,0.424
2024-07-01,BG,Multimedia,0.010
2024-07-01,BG,Other/Unknown,0.033
2024-07-01,BG,Practical Guidance,0.280
2024-07-01,BG,Seeking information,0.191
2024-07-01,BG,Self-expression,0.056
2024-07-01,BG,Technical help,0.139
2024-07-01,BG,Writing,0.290
2024-07-01,BJ,Multimedia,0.000
2024-07-01,BJ,Other/Unknown,0.037
2024-07-01,BJ,Practical Guidance,0.267
2024-07-01,BJ,Seeking information,0.211
2024-07-01,BJ,Self-expression,0.000
2024-07-01,BJ,Technical help,0.113
2024-07-01,BJ,Writing,0.372
2024-07-01,BO,Multimedia,0.022
2024-07-01,BO,Other/Unknown,0.033
2024-07-01,BO,Practical Guidance,0.335
2024-07-01,BO,Seeking information,0.258
2024-07-01,BO,Self-expression,0.050
2024-07-01,BO,Technical help,0.081
2024-07-01,BO,Writing,0.220
2024-07-01,BR,Multimedia,0.023
2024-07-01,BR,Other/Unknown,0.035
2024-07-01,BR,Practical Guidance,0.265
2024-07-01,BR,Seeking information,0.157
2024-07-01,BR,Self-expression,0.037
2024-07-01,BR,Technical help,0.113
2024-07-01,BR,Writing,0.370
