month,country,work_related,topic,share_of_messages
2024-07-01,AE,0,Multimedia,0.012
2024-07-01,AE,0,Other/Unknown,0.065
2024-07-01,AE,0,Practical Guidance,0.256
2024-07-01,AE,0,Seeking information,0.245
2024-07-01,AE,0,Self-expression,0.061
2024-07-01,AE,0,Technical help,0.034
2024-07-01,AE,0,Writing,0.328
2024-07-01,AE,1,Multimedia,0.019
2024-07-01,AE,1,Other/Unknown,0.021
2024-07-01,AE,1,Practical Guidance,0.150
2024-07-01,AE,1,Seeking information,0.081
2024-07-01,AE,1,Self-expression,0.000
2024-07-01,AE,1,Technical help,0.101
2024-07-01,AE,1,Writing,0.630
2024-07-01,AO,0,Multimedia,0.003
2024-07-01,AO,0,Other/Unknown,0.044
2024-07-01,AO,0,Practical Guidance,0.338
2024-07-01,AO,0,Seeking information,0.197
2024-07-01,AO,0,Self-expression,0.090
2024-07-01,AO,0,Technical help,0.076
2024-07-01,AO,0,Writing,0.252
2024-07-01,AR,0,Multimedia,0.018
2024-07-01,AR,0,Other/Unknown,0.036
2024-07-01,AR,0,Practical Guidance,0.343
2024-07-01,AR,0,Seeking information,0.248
2024-07-01,AR,0,Self-expression,0.070
2024-07-01,AR,0,Technical help,0.057
2024-07-01,AR,0,Writing,0.227
2024-07-01,AR,1,Multimedia,0.017
2024-07-01,AR,1,Other/Unknown,0.019
2024-07-01,AR,1,Practical Guidance,0.248
2024-07-01,AR,1,Seeking information,0.116
2024-07-01,AR,1,Self-expression,0.007
2024-07-01,AR,1,Technical help,0.218
2024-07-01,AR,1,Writing,0.374
2024-07-01,AT,0,Multimedia,0.022
2024-07-01,AT,0,Other/Unknown,0.033
2024-07-01,AT,0,Practical Guidance,0.287
2024-07-01,AT,0,Seeking information,0.271
2024-07-01,AT,0,Self-expression,0.027
2024-07-01,AT,0,Technical help,0.020
2024-07-01,AT,0,Writing,0.339
2024-07-01,AT,1,Multimedia,0.024
2024-07-01,AT,1,Other/Unknown,0.024
2024-07-01,AT,1,Practical Guidance,0.157
2024-07-01,AT,1,Seeking information,0.097
2024-07-01,AT,1,Self-expression,0.022
2024-07-01,AT,1,Technical help,0.175
2024-07-01,AT,1,Writing,0.502
2024-07-01,AU,0,Multimedia,0.018
2024-07-01,AU,0,Other/Unknown,0.038
2024-07-01,AU,0,Practical Guidance,0.297
2024-07-01,AU,0,Seeking information,0.228
2024-07-01,AU,0,Self-expression,0.045
2024-07-01,AU,0,Technical help,0.063
2024-07-01,AU,0,Writing,0.311
2024-07-01,AU,1,Multimedia,0.018
2024-07-01,AU,1,Other/Unknown,0.017
2024-07-01,AU,1,Practical Guidance,0.215
2024-07-01,AU,1,Seeking information,0.093
2024-07-01,AU,1,Self-expression,0.008
2024-07-01,AU,1,Technical help,0.129
2024-07-01,AU,1,Writing,0.521
2024-07-01,AZ,0,Multimedia,0.030
2024-07-01,AZ,0,Other/Unknown,0.073
2024-07-01,AZ,0,Practical Guidance,0.285
2024-07-01,AZ,0,Seeking information,0.250
2024-07-01,AZ,0,Self-expression,0.081
2024-07-01,AZ,0,Technical help,0.047
2024-07-01,AZ,0,Writing,0.234
2024-07-01,AZ,1,Multimedia,0.036
2024-07-01,AZ,1,Other/Unknown,0.000
2024-07-01,AZ,1,Practical Guidance,0.300
2024-07-01,AZ,1,Seeking information,0.071
2024-07-01,AZ,1,Self-expression,0.066
2024-07-01,AZ,1,Technical help,0.290
2024-07-01,AZ,1,Writing,0.237
2024-07-01,BA,0,Multimedia,0.028
2024-07-01,BA,0,Other/Unknown,0.100
2024-07-01,BA,0,Practical Guidance,0.258
2024-07-01,BA,0,Seeking information,0.291
2024-07-01,BA,0,Self-expression,0.097
2024-07-01,BA,0,Technical help,0.071
2024-07-01,BA,0,Writing,0.154
2024-07-01,BD,0,Multimedia,0.027
2024-07-01,BD,0,Other/Unknown,0.055
2024-07-01,BD,0,Practical Guidance,0.312
2024-07-01,BD,0,Seeking information,0.196
2024-07-01,BD,0,Self-expression,0.074
2024-07-01,BD,0,Technical help,0.065
2024-07-01,BD,0,Writing,0.271
2024-07-01,BD,1,Multimedia,0.021
2024-07-01,BD,1,Other/Unknown,0.017
2024-07-01,BD,1,Practical Guidance,0.257
2024-07-01,BD,1,Seeking information,0.091
2024-07-01,BD,1,Self-expression,0.003
2024-07-01,BD,1,Technical help,0.213
2024-07-01,BD,1,Writing,0.397
2024-07-01,BE,0,Multimedia,0.027
2024-07-01,BE,0,Other/Unknown,0.030
2024-07-01,BE,0,Practical Guidance,0.277
2024-07-01,BE,0,Seeking information,0.287
2024-07-01,BE,0,Self-expression,0.060
2024-07-01,BE,0,Technical help,0.038
2024-07-01,BE,0,Writing,0.281
2024-07-01,BE,1,Multimedia,0.020
2024-07-01,BE,1,Other/Unknown,0.025
2024-07-01,BE,1,Practical Guidance,0.167
2024-07-01,BE,1,Seeking information,0.088
2024-07-01,BE,1,Self-expression,0.000
2024-07-01,BE,1,Technical help,0.122
2024-07-01,BE,1,Writing,0.578
2024-07-01,BG,0,Multimedia,0.000
2024-07-01,BG,0,Other/Unknown,0.036
2024-07-01,BG,0,Practical Guidance,0.341
2024-07-01,BG,0,Seeking information,0.303
2024-07-01,BG,0,Self-expression,0.069
2024-07-01,BG,0,Technical help,0.032
2024-07-01,BG,0,Writing,0.219
2024-07-01,BG,1,Multimedia,0.032
2024-07-01,BG,1,Other/Unknown,0.027
2024-07-01,BG,1,Practical Guidance,0.174
2024-07-01,BG,1,Seeking information,0.077
2024-07-01,BG,1,Self-expression,0.050
2024-07-01,BG,1,Technical help,0.259
2024-07-01,BG,1,Writing,0.381
2024-07-01,BO,0,Multimedia,0.020
2024-07-01,BO,0,Other/Unknown,0.036
2024-07-01,BO,0,Practical Guidance,0.362
2024-07-01,BO,0,Seeking information,0.298
2024-07-01,BO,0,Self-expression,0.078
2024-07-01,BO,0,Technical help,0.037
2024-07-01,BO,0,Writing,0.170
2024-07-01,BO,1,Multimedia,0.013
2024-07-01,BO,1,Other/Unknown,0.000
2024-07-01,BO,1,Practical Guidance,0.313
2024-07-01,BO,1,Seeking information,0.210
2024-07-01,BO,1,Self-expression,0.000
2024-07-01,BO,1,Technical help,0.145
2024-07-01,BO,1,Writing,0.319
