month,work_related,topic,share_of_messages
2024-07-01,0,Multimedia,0.023
2024-07-01,0,Other/Unknown,0.048
2024-07-01,0,Practical Guidance,0.302
2024-07-01,0,Seeking information,0.231
2024-07-01,0,Self-expression,0.074
2024-07-01,0,Technical help,0.059
2024-07-01,0,Writing,0.262
2024-07-01,1,Multimedia,0.017
2024-07-01,1,Other/Unknown,0.021
2024-07-01,1,Practical Guidance,0.221
2024-07-01,1,Seeking information,0.107
2024-07-01,1,Self-expression,0.007
2024-07-01,1,Technical help,0.207
2024-07-01,1,Writing,0.420
2024-08-01,0,Multimedia,0.031
2024-08-01,0,Other/Unknown,0.050
2024-08-01,0,Practical Guidance,0.297
2024-08-01,0,Seeking information,0.224
2024-08-01,0,Self-expression,0.080
2024-08-01,0,Technical help,0.056
2024-08-01,0,Writing,0.263
2024-08-01,1,Multimedia,0.022
2024-08-01,1,Other/Unknown,0.022
2024-08-01,1,Practical Guidance,0.222
2024-08-01,1,Seeking information,0.107
2024-08-01,1,Self-expression,0.007
2024-08-01,1,Technical help,0.194
2024-08-01,1,Writing,0.426
2024-09-01,0,Multimedia,0.036
2024-09-01,0,Other/Unknown,0.046
2024-09-01,0,Practical Guidance,0.313
2024-09-01,0,Seeking information,0.214
2024-09-01,0,Self-expression,0.075
2024-09-01,0,Technical help,0.067
2024-09-01,0,Writing,0.250
2024-09-01,1,Multimedia,0.029
2024-09-01,1,Other/Unknown,0.022
2024-09-01,1,Practical Guidance,0.233
2024-09-01,1,Seeking information,0.110
2024-09-01,1,Self-expression,0.008
2024-09-01,1,Technical help,0.182
2024-09-01,1,Writing,0.416
2024-10-01,0,Multimedia,0.048
2024-10-01,0,Other/Unknown,0.049
2024-10-01,0,Practical Guidance,0.312
2024-10-01,0,Seeking information,0.210
2024-10-01,0,Self-expression,0.078
2024-10-01,0,Technical help,0.065
2024-10-01,0,Writing,0.239
2024-10-01,1,Multimedia,0.039
2024-10-01,1,Other/Unknown,0.023
2024-10-01,1,Practical Guidance,0.243
2024-10-01,1,Seeking information,0.112
2024-10-01,1,Self-expression,0.008
2024-10-01,1,Technical help,0.182
2024-10-01,1,Writing,0.394
2024-11-01,0,Multimedia,0.044
2024-11-01,0,Other/Unknown,0.051
2024-11-01,0,Practical Guidance,0.308
2024-11-01,0,Seeking information,0.215
