month,country,work_related,ask_do_express,share_of_messages
2024-07-01,AE,0,asking,0.507
2024-07-01,AE,0,doing,0.348
2024-07-01,AE,0,expressing,0.145
2024-07-01,AE,1,asking,0.251
2024-07-01,AE,1,doing,0.631
2024-07-01,AE,1,expressing,0.118
2024-07-01,AO,0,asking,0.695
2024-07-01,AO,0,doing,0.221
2024-07-01,AO,0,expressing,0.084
2024-07-01,AR,0,asking,0.586
2024-07-01,AR,0,doing,0.289
2024-07-01,AR,0,expressing,0.125
2024-07-01,AR,1,asking,0.404
2024-07-01,AR,1,doing,0.487
2024-07-01,AR,1,expressing,0.110
2024-07-01,AT,0,asking,0.538
2024-07-01,AT,0,doing,0.357
2024-07-01,AT,0,expressing,0.105
2024-07-01,AT,1,asking,0.367
2024-07-01,AT,1,doing,0.533
2024-07-01,AT,1,expressing,0.100
2024-07-01,AU,0,asking,0.534
2024-07-01,AU,0,doing,0.378
2024-07-01,AU,0,expressing,0.088
2024-07-01,AU,1,asking,0.325
2024-07-01,AU,1,doing,0.593
2024-07-01,AU,1,expressing,0.082
2024-07-01,AZ,0,asking,0.563
2024-07-01,AZ,0,doing,0.268
2024-07-01,AZ,0,expressing,0.169
2024-07-01,AZ,1,asking,0.434
2024-07-01,AZ,1,doing,0.460
2024-07-01,AZ,1,expressing,0.105
2024-07-01,BD,0,asking,0.529
2024-07-01,BD,0,doing,0.348
2024-07-01,BD,0,expressing,0.123
2024-07-01,BD,1,asking,0.357
2024-07-01,BD,1,doing,0.564
2024-07-01,BD,1,expressing,0.079
2024-07-01,BE,0,asking,0.541
2024-07-01,BE,0,doing,0.350
2024-07-01,BE,0,expressing,0.109
2024-07-01,BE,1,asking,0.304
2024-07-01,BE,1,doing,0.598
2024-07-01,BE,1,expressing,0.098
2024-07-01,BG,0,asking,0.659
2024-07-01,BG,0,doing,0.206
2024-07-01,BG,0,expressing,0.136
2024-07-01,BG,1,asking,0.396
2024-07-01,BG,1,doing,0.493
2024-07-01,BG,1,expressing,0.111
2024-07-01,BO,0,asking,0.661
2024-07-01,BO,0,doing,0.243
2024-07-01,BO,0,expressing,0.097
2024-07-01,BO,1,asking,0.454
2024-07-01,BO,1,doing,0.486
2024-07-01,BO,1,expressing,0.061
2024-07-01,BR,0,asking,0.509
2024-07-01,BR,0,doing,0.358
2024-07-01,BR,0,expressing,0.133
2024-07-01,BR,1,asking,0.319
2024-07-01,BR,1,doing,0.579
2024-07-01,BR,1,expressing,0.102
2024-07-01,CA,0,asking,0.559
2024-07-01,CA,0,doing,0.340
2024-07-01,CA,0,expressing,0.100
2024-07-01,CA,1,asking,0.388
2024-07-01,CA,1,doing,0.522
2024-07-01,CA,1,expressing,0.090
2024-07-01,CH,0,asking,0.546
2024-07-01,CH,0,doing,0.344
2024-07-01,CH,0,expressing,0.110
2024-07-01,CH,1,asking,0.310
2024-07-01,CH,1,doing,0.573
2024-07-01,CH,1,expressing,0.117
2024-07-01,CI,0,asking,0.517
2024-07-01,CI,0,doing,0.357
2024-07-01,CI,0,expressing,0.126
2024-07-01,CI,1,asking,0.415
2024-07-01,CI,1,doing,0.493
2024-07-01,CI,1,expressing,0.092
2024-07-01,CL,0,asking,0.568
2024-07-01,CL,0,doing,0.319
2024-07-01,CL,0,expressing,0.113
2024-07-01,CL,1,asking,0.388
2024-07-01,CL,1,doing,0.530
2024-07-01,CL,1,expressing,0.081
2024-07-01,CO,0,asking,0.524
2024-07-01,CO,0,doing,0.359
2024-07-01,CO,0,expressing,0.117
2024-07-01,CO,1,asking,0.362
2024-07-01,CO,1,doing,0.533
2024-07-01,CO,1,expressing,0.105
2024-07-01,CR,0,asking,0.515
2024-07-01,CR,0,doing,0.315
2024-07-01,CR,0,expressing,0.170
2024-07-01,CR,1,asking,0.369
2024-07-01,CR,1,doing,0.518
2024-07-01,CR,1,expressing,0.113
2024-07-01,CY,1,asking,0.316
2024-07-01,CY,1,doing,0.529
2024-07-01,CY,1,expressing,0.154
2024-07-01,CZ,0,asking,0.586
2024-07-01,CZ,0,doing,0.306
2024-07-01,CZ,0,expressing,0.108
2024-07-01,CZ,1,asking,0.347
2024-07-01,CZ,1,doing,0.544
2024-07-01,CZ,1,expressing,0.109
2024-07-01,DE,0,asking,0.533
2024-07-01,DE,0,doing,0.351
2024-07-01,DE,0,expressing,0.117
2024-07-01,DE,1,asking,0.384
2024-07-01,DE,1,doing,0.514
2024-07-01,DE,1,expressing,0.102
2024-07-01,DK,0,asking,0.566
2024-07-01,DK,0,doing,0.320
2024-07-01,DK,0,expressing,0.113
2024-07-01,DK,1,asking,0.361
2024-07-01,DK,1,doing,0.525
2024-07-01,DK,1,expressing,0.114
2024-07-01,DO,0,asking,0.589
2024-07-01,DO,0,doing,0.276
2024-07-01,DO,0,expressing,0.135
2024-07-01,DO,1,asking,0.407
2024-07-01,DO,1,doing,0.495
2024-07-01,DO,1,expressing,0.098
2024-07-01,DZ,0,asking,0.520
2024-07-01,DZ,0,doing,0.294
2024-07-01,DZ,0,expressing,0.186
2024-07-01,DZ,1,asking,0.384
2024-07-01,DZ,1,doing,0.501
2024-07-01,DZ,1,expressing,0.116
2024-07-01,EC,0,asking,0.585
2024-07-01,EC,0,doing,0.327
2024-07-01,EC,0,expressing,0.087
2024-07-01,EC,1,asking,0.385
2024-07-01,EC,1,doing,0.558
2024-07-01,EC,1,expressing,0.057
2024-07-01,EE,0,asking,0.489
2024-07-01,EE,0,doing,0.257
2024-07-01,EE,0,expressing,0.255
2024-07-01,EG,0,asking,0.518
2024-07-01,EG,0,doing,0.291
2024-07-01,EG,0,expressing,0.191
2024-07-01,EG,1,asking,0.435
2024-07-01,EG,1,doing,0.469
2024-07-01,EG,1,expressing,0.096
2024-07-01,ES,0,asking,0.561
2024-07-01,ES,0,doing,0.318
2024-07-01,ES,0,expressing,0.121
2024-07-01,ES,1,asking,0.382
2024-07-01,ES,1,doing,0.516
2024-07-01,ES,1,expressing,0.102
2024-07-01,ET,0,asking,0.553
2024-07-01,ET,0,doing,0.307
2024-07-01,ET,0,expressing,0.140
2024-07-01,ET,1,asking,0.355
2024-07-01,ET,1,doing,0.539
2024-07-01,ET,1,expressing,0.106
2024-07-01,FI,0,asking,0.482
2024-07-01,FI,0,doing,0.342
2024-07-01,FI,0,expressing,0.176
2024-07-01,FI,1,asking,0.388
2024-07-01,FI,1,doing,0.484
2024-07-01,FI,1,expressing,0.128
2024-07-01,FR,0,asking,0.493
2024-07-01,FR,0,doing,0.369
2024-07-01,FR,0,expressing,0.139
2024-07-01,FR,1,asking,0.316
2024-07-01,FR,1,doing,0.570
2024-07-01,FR,1,expressing,0.114
2024-07-01,GB,0,asking,0.494
2024-07-01,GB,0,doing,0.380
2024-07-01,GB,0,expressing,0.127
2024-07-01,GB,1,asking,0.358
2024-07-01,GB,1,doing,0.560
2024-07-01,GB,1,expressing,0.082
2024-07-01,GE,0,asking,0.590
2024-07-01,GE,0,doing,0.284
2024-07-01,GE,0,expressing,0.126
2024-07-01,GE,1,asking,0.338
2024-07-01,GE,1,doing,0.516
2024-07-01,GE,1,expressing,0.147
2024-07-01,GH,0,asking,0.690
2024-07-01,GH,0,doing,0.230
2024-07-01,GH,0,expressing,0.079
2024-07-01,GH,1,asking,0.441
2024-07-01,GH,1,doing,0.481
2024-07-01,GH,1,expressing,0.077
2024-07-01,GR,0,asking,0.582
2024-07-01,GR,0,doing,0.266
2024-07-01,GR,0,expressing,0.152
2024-07-01,GR,1,asking,0.399
2024-07-01,GR,1,doing,0.517
2024-07-01,GR,1,expressing,0.084
2024-07-01,GT,0,asking,0.594
2024-07-01,GT,0,doing,0.331
2024-07-01,GT,0,expressing,0.074
2024-07-01,GT,1,asking,0.418
2024-07-01,GT,1,doing,0.496
2024-07-01,GT,1,expressing,0.086
2024-07-01,HN,0,asking,0.583
2024-07-01,HN,0,doing,0.307
2024-07-01,HN,0,expressing,0.110
2024-07-01,HN,1,asking,0.403
2024-07-01,HN,1,doing,0.484
2024-07-01,HN,1,expressing,0.114
2024-07-01,HR,0,asking,0.581
2024-07-01,HR,0,doing,0.294
2024-07-01,HR,0,expressing,0.125
2024-07-01,HR,1,asking,0.324
2024-07-01,HR,1,doing,0.573
2024-07-01,HR,1,expressing,0.103
2024-07-01,HU,0,asking,0.560
2024-07-01,HU,0,doing,0.305
2024-07-01,HU,0,expressing,0.136
2024-07-01,HU,1,asking,0.432
2024-07-01,HU,1,doing,0.458
2024-07-01,HU,1,expressing,0.110
2024-07-01,ID,0,asking,0.580
2024-07-01,ID,0,doing,0.335
2024-07-01,ID,0,expressing,0.085
2024-07-01,ID,1,asking,0.415
2024-07-01,ID,1,doing,0.518
2024-07-01,ID,1,expressing,0.067
2024-07-01,IE,0,asking,0.518
2024-07-01,IE,0,doing,0.350
2024-07-01,IE,0,expressing,0.131
2024-07-01,IE,1,asking,0.354
2024-07-01,IE,1,doing,0.552
2024-07-01,IE,1,expressing,0.094
2024-07-01,IL,0,asking,0.594
2024-07-01,IL,0,doing,0.287
2024-07-01,IL,0,expressing,0.120
2024-07-01,IL,1,asking,0.458
2024-07-01,IL,1,doing,0.418
2024-07-01,IL,1,expressing,0.123
2024-07-01,IN,0,asking,0.539
2024-07-01,IN,0,doing,0.351
2024-07-01,IN,0,expressing,0.110
2024-07-01,IN,1,asking,0.428
2024-07-01,IN,1,doing,0.484
2024-07-01,IN,1,expressing,0.087
2024-07-01,IQ,0,asking,0.618
2024-07-01,IQ,0,doing,0.240
2024-07-01,IQ,0,expressing,0.142
2024-07-01,IQ,1,asking,0.381
2024-07-01,IQ,1,doing,0.440
2024-07-01,IQ,1,expressing,0.179
2024-07-01,IT,0,asking,0.580
2024-07-01,IT,0,doing,0.294
2024-07-01,IT,0,expressing,0.126
2024-07-01,IT,1,asking,0.387
2024-07-01,IT,1,doing,0.515
2024-07-01,IT,1,expressing,0.098
2024-07-01,JO,0,asking,0.502
2024-07-01,JO,0,doing,0.335
2024-07-01,JO,0,expressing,0.163
2024-07-01,JO,1,asking,0.264
2024-07-01,JO,1,doing,0.596
2024-07-01,JO,1,expressing,0.140
