month,work_related,share_of_messages
2024-07-01,0,0.487
2024-07-01,1,0.513
2024-08-01,0,0.517
2024-08-01,1,0.483
2024-09-01,0,0.534
2024-09-01,1,0.466
2024-10-01,0,0.546
2024-10-01,1,0.454
2024-11-01,0,0.563
2024-11-01,1,0.437
2024-12-01,0,0.599
2024-12-01,1,0.401
2025-01-01,0,0.597
2025-01-01,1,0.403
2025-02-01,0,0.611
2025-02-01,1,0.389
2025-03-01,0,0.624
2025-03-01,1,0.376
2025-04-01,0,0.648
2025-04-01,1,0.352
2025-05-01,0,0.645
2025-05-01,1,0.355
2025-06-01,0,0.667
2025-06-01,1,0.333
2025-07-01,0,0.686
2025-07-01,1,0.314
2025-08-01,0,0.694
2025-08-01,1,0.306
2025-09-01,0,0.670
2025-09-01,1,0.330
2025-10-01,0,0.661
2025-10-01,1,0.339
2025-11-01,0,0.664
2025-11-01,1,0.336
2025-12-01,0,0.695
2025-12-01,1,0.305
2026-01-01,0,0.693
2026-01-01,1,0.307
2026-02-01,0,0.692
2026-02-01,1,0.308
2026-03-01,0,0.690
2026-03-01,1,0.310
2026-04-01,0,0.683
2026-04-01,1,0.317
2026-05-01,0,0.695
2026-05-01,1,0.305
2026-06-01,0,0.696
2026-06-01,1,0.304
