month,work_related,plan_type,share_of_messages
2024-09-01,0,free,0.560
2024-09-01,0,plus,0.383
2024-09-01,1,free,0.440
2024-09-01,1,plus,0.617
2024-10-01,0,free,0.575
2024-10-01,0,plus,0.385
2024-10-01,1,free,0.425
2024-10-01,1,plus,0.615
2024-11-01,0,free,0.591
2024-11-01,0,plus,0.396
2024-11-01,1,free,0.409
2024-11-01,1,plus,0.604
2024-12-01,0,free,0.626
2024-12-01,0,plus,0.432
2024-12-01,0,pro,0.339
2024-12-01,1,free,0.374
2024-12-01,1,plus,0.568
2024-12-01,1,pro,0.661
2025-01-01,0,free,0.626
2025-01-01,0,plus,0.424
2025-01-01,0,pro,0.401
2025-01-01,1,free,0.374
2025-01-01,1,plus,0.576
2025-01-01,1,pro,0.599
2025-02-01,0,free,0.638
2025-02-01,0,plus,0.440
2025-02-01,0,pro,0.323
2025-02-01,1,free,0.362
2025-02-01,1,plus,0.560
2025-02-01,1,pro,0.677
2025-03-01,0,free,0.652
2025-03-01,0,plus,0.456
2025-03-01,0,pro,0.380
2025-03-01,1,free,0.348
2025-03-01,1,plus,0.544
2025-03-01,1,pro,0.620
2025-04-01,0,free,0.679
2025-04-01,0,plus,0.489
2025-04-01,0,pro,0.381
2025-04-01,1,free,0.321
2025-04-01,1,plus,0.511
2025-04-01,1,pro,0.619
2025-05-01,0,free,0.675
2025-05-01,0,plus,0.493
2025-05-01,0,pro,0.389
2025-05-01,1,free,0.325
2025-05-01,1,plus,0.507
2025-05-01,1,pro,0.611
2025-06-01,0,free,0.699
2025-06-01,0,plus,0.515
2025-06-01,0,pro,0.404
2025-06-01,1,free,0.301
2025-06-01,1,plus,0.485
2025-06-01,1,pro,0.596
2025-07-01,0,free,0.718
2025-07-01,0,plus,0.535
2025-07-01,0,pro,0.413
2025-07-01,1,free,0.282
2025-07-01,1,plus,0.465
2025-07-01,1,pro,0.587
2025-08-01,0,free,0.725
2025-08-01,0,go,0.494
2025-08-01,0,plus,0.559
2025-08-01,0,pro,0.405
2025-08-01,1,free,0.275
2025-08-01,1,go,0.506
2025-08-01,1,plus,0.441
2025-08-01,1,pro,0.595
2025-09-01,0,free,0.703
2025-09-01,0,go,0.472
2025-09-01,0,plus,0.528
2025-09-01,0,pro,0.317
2025-09-01,1,free,0.297
2025-09-01,1,go,0.528
2025-09-01,1,plus,0.472
2025-09-01,1,pro,0.683
2025-10-01,0,free,0.699
2025-10-01,0,go,0.461
2025-10-01,0,plus,0.509
2025-10-01,0,pro,0.228
2025-10-01,1,free,0.301
2025-10-01,1,go,0.539
2025-10-01,1,plus,0.491
2025-10-01,1,pro,0.772
2025-11-01,0,free,0.706
2025-11-01,0,go,0.501
2025-11-01,0,plus,0.517
2025-11-01,0,pro,0.233
2025-11-01,1,free,0.294
2025-11-01,1,go,0.499
2025-11-01,1,plus,0.483
2025-11-01,1,pro,0.767
2025-12-01,0,free,0.734
2025-12-01,0,go,0.548
2025-12-01,0,plus,0.557
2025-12-01,0,pro,0.397
2025-12-01,1,free,0.266
2025-12-01,1,go,0.452
2025-12-01,1,plus,0.443
2025-12-01,1,pro,0.603
2026-01-01,0,free,0.738
2026-01-01,0,go,0.556
2026-01-01,0,plus,0.535
2026-01-01,0,pro,0.360
2026-01-01,1,free,0.262
2026-01-01,1,go,0.444
2026-01-01,1,plus,0.465
2026-01-01,1,pro,0.640
2026-02-01,0,free,0.739
2026-02-01,0,go,0.552
2026-02-01,0,plus,0.531
2026-02-01,0,pro,0.386
2026-02-01,1,free,0.261
2026-02-01,1,go,0.448
2026-02-01,1,plus,0.469
2026-02-01,1,pro,0.614
2026-03-01,0,free,0.737
2026-03-01,0,go,0.580
2026-03-01,0,plus,0.529
2026-03-01,0,pro,0.370
2026-03-01,1,free,0.263
2026-03-01,1,go,0.420
2026-03-01,1,plus,0.471
2026-03-01,1,pro,0.630
2026-04-01,0,free,0.728
2026-04-01,0,go,0.569
2026-04-01,0,plus,0.519
2026-04-01,0,pro,0.343
2026-04-01,1,free,0.272
2026-04-01,1,go,0.431
2026-04-01,1,plus,0.481
2026-04-01,1,pro,0.657
2026-05-01,0,free,0.740
2026-05-01,0,go,0.585
2026-05-01,0,plus,0.537
2026-05-01,0,pro,0.370
2026-05-01,1,free,0.260
2026-05-01,1,go,0.415
2026-05-01,1,plus,0.463
2026-05-01,1,pro,0.630
2026-06-01,0,free,0.742
2026-06-01,0,go,0.579
2026-06-01,0,plus,0.538
2026-06-01,0,pro,0.420
2026-06-01,1,free,0.258
2026-06-01,1,go,0.421
2026-06-01,1,plus,0.462
2026-06-01,1,pro,0.580
