month,work_schoolwork,share_of_messages
2024-07-01,Other,0.487
2024-07-01,Schoolwork,0.237
2024-07-01,Work,0.275
2024-08-01,Other,0.508
2024-08-01,Schoolwork,0.235
2024-08-01,Work,0.257
2024-09-01,Other,0.471
2024-09-01,Schoolwork,0.296
2024-09-01,Work,0.232
2024-10-01,Other,0.466
2024-10-01,Schoolwork,0.316
2024-10-01,Work,0.218
2024-11-01,Other,0.478
2024-11-01,Schoolwork,0.320
2024-11-01,Work,0.203
2024-12-01,Other,0.530
2024-12-01,Schoolwork,0.278
2024-12-01,Work,0.192
2025-01-01,Other,0.545
2025-01-01,Schoolwork,0.243
2025-01-01,Work,0.212
2025-02-01,Other,0.550
2025-02-01,Schoolwork,0.246
2025-02-01,Work,0.204
2025-03-01,Other,0.565
2025-03-01,Schoolwork,0.242
2025-03-01,Work,0.193
2025-04-01,Other,0.603
2025-04-01,Schoolwork,0.213
2025-04-01,Work,0.184
2025-05-01,Other,0.593
2025-05-01,Schoolwork,0.218
2025-05-01,Work,0.189
2025-06-01,Other,0.633
2025-06-01,Schoolwork,0.176
2025-06-01,Work,0.191
2025-07-01,Other,0.676
2025-07-01,Schoolwork,0.128
2025-07-01,Work,0.196
2025-08-01,Other,0.685
2025-08-01,Schoolwork,0.126
2025-08-01,Work,0.190
2025-09-01,Other,0.626
2025-09-01,Schoolwork,0.178
2025-09-01,Work,0.196
2025-10-01,Other,0.607
2025-10-01,Schoolwork,0.200
2025-10-01,Work,0.193
2025-11-01,Other,0.606
2025-11-01,Schoolwork,0.205
2025-11-01,Work,0.188
2025-12-01,Other,0.646
2025-12-01,Schoolwork,0.175
2025-12-01,Work,0.180
2026-01-01,Other,0.651
2026-01-01,Schoolwork,0.158
2026-01-01,Work,0.191
2026-02-01,Other,0.646
2026-02-01,Schoolwork,0.161
2026-02-01,Work,0.192
2026-03-01,Other,0.645
2026-03-01,Schoolwork,0.164
2026-03-01,Work,0.191
2026-04-01,Other,0.634
2026-04-01,Schoolwork,0.181
2026-04-01,Work,0.185
2026-05-01,Other,0.660
2026-05-01,Schoolwork,0.162
2026-05-01,Work,0.177
2026-06-01,Other,0.667
2026-06-01,Schoolwork,0.143
2026-06-01,Work,0.189
